name,x,y,introduction
青蓝门,420,1061,得名于青山湖校区的青蓝湖，行人专属通道，紧邻地铁站，出行超便捷，师生日常步行进出的高频选择
正大门,887,1123,学校南门，巍峨大气，校名碑坐落于此，开学时是打卡热门点 ，彰显学校门面
望城门,254,772,208 路公交的起始站与终点站，因学校前身曾在望城岗办学得名，承载校史记忆
长胜门,182,422,名得于长胜村，商户物资补给车辆的离校通道，同时可满足周转房住户车辆出行需求
惟义楼,642,558,以国立中正大学昆虫学家杨惟义命名，是师大四大教学楼之一，也是学校主要的理论教学场所，内部结构较为复杂，被称为师大的 “迷宫” 建筑
名达楼,655,872,以国立中正大学抗战捐躯教授第一人姚名达命名，分布有外国语学院，马克思主义学院，政法学院，文学院，历史文化与旅游学院，新闻与传播学院，经济与管理学院
方荫楼,1094,861,以国立中正大学力学专家蔡方荫命名，分布有地理与环境学院，生命科学学院，化学与材料学院
先骕楼,1099,528,以国立中正大学首任校长、植物学家胡先骕命名，分布有人工智能学院，数学与统计学院，化学工程学院，药学院
图书馆,857,493,馆内配置有多个阅览室与自习室，可容纳数千人同时阅读，内部还设有美术馆，校史馆等，兼具阅读与休闲功能，也是档案馆和研究生院的驻地
静湖,863,644,校内人工湖，得名于校训“静思笃行，持中秉正”，周边环境清幽，是师生读书、休憩的宁静角落 
校址纪念碑,870,780,八根柱子讲述了江西师范大学的历史，与正大坊遥相呼应，正大广场中轴线上的重要建筑
正大坊,886,1030,具有现代元素的立体牌坊，是师大校园景观的重要组成部分，体现出学校的文化氛围与庄重之感
洁琼楼,410,816,以著名社会活动家雷洁琼命名，分布有教育学院，国际教育学院，心理学院
鹅湖湾,1292,934,校园东南隅的小湖，与 “鹅湖书院” 呼应，传承江西书院文化，鸟禽栖息，生态优美 
一食堂,692,199,1
二食堂,723,354,别称“芒果食堂”，由校友姚智德投资建设，餐饮总类丰富
三食堂,437,453,别称“长胜园”，占地面积最大的食堂
五食堂,719,289,小而精的食堂，二楼为民族餐厅，提供西北风味特色餐饮
升旗台,870,870,正大广场的升旗台，每天早晨都有国旗班的身影
瑶湖体育场,1266,324,别称“贝壳”，室外体育场，用于举办大型运动会
瑶湖体育馆,1292,580,别称“龟壳”，室内体育馆，内有室内球场等设施
音乐艺术广场,1315,799,1
白鹿会馆,1190,1093,校内酒店，接待学术会议和大型交流活动
长胜体育场,491,651,1
风雨球馆,505,830,1
风雨球场,495,383,1
校医院,337,483,1
天浪楼,370,997,1
超真楼,348,915,1
实验大楼,500,945,1
大学生活动中心,816,290,1
青年文化广场,886,343,1
